Material_Name,Embodied_Carbon_kgCO2e_kg,Data_Source
"general UK, mixture of land won, marine, secondary and recycled, bulk, loose",0.007469645473733029,ICE Database V5.0 (Circular Ecology)
"general, virgin mixture of land won and marine, bulk, loose",0.004927788903286607,ICE Database V5.0 (Circular Ecology)
"from virgin land won resources, bulk, loose",0.00435750119402985,ICE Database V5.0 (Circular Ecology)
"from virgin marine resources, bulk, loose",0.009037500000000002,ICE Database V5.0 (Circular Ecology)
"from recycled resources, no heat treatment, bulk, loose",0.006052978571428572,ICE Database V5.0 (Circular Ecology)
"from recycled resources, with heat treatment, bulk, loose",0.11877166666666668,ICE Database V5.0 (Circular Ecology)
"expanded clay, bulk, loose",0.3350915,ICE Database V5.0 (Circular Ecology)
"expanded foamed glass, bulk, loose",0.273532,ICE Database V5.0 (Circular Ecology)
"from secondary resources, bulk, loose",0.06332299999999999,ICE Database V5.0 (Circular Ecology)
"mixture of recycled and secondary resources, bulk, loose",0.014181253693490319,ICE Database V5.0 (Circular Ecology)
"Aluminium General, European Mix, Inc Imports",6.668717530534737,ICE Database V5.0 (Circular Ecology)
"Aluminium sheet, European Mix, Inc Imports",6.581175999999999,ICE Database V5.0 (Circular Ecology)
"Aluminium foil, European Mix, Inc Imports",7.468977999999998,ICE Database V5.0 (Circular Ecology)
"Aluminium extruded profile, European Mix, Inc Imports",6.8252419999999985,ICE Database V5.0 (Circular Ecology)
"Aluminium, cast, European Mix, Inc Imports",6.7151900884210525,ICE Database V5.0 (Circular Ecology)
"Aluminium General, Worldwide",13.055539991305551,ICE Database V5.0 (Circular Ecology)
"Aluminium sheet, Worldwide",12.95589499130555,ICE Database V5.0 (Circular Ecology)
"Aluminium foil, Worldwide",13.766894991305549,ICE Database V5.0 (Circular Ecology)
"Aluminium extruded profile, Worldwide",13.176394991305548,ICE Database V5.0 (Circular Ecology)
"Aluminium cast, Worldwide",13.186894991305548,ICE Database V5.0 (Circular Ecology)
"Aluminium, produced in Europe",5.583938202538153,ICE Database V5.0 (Circular Ecology)
"Aluminium, North American",5.651616031355548,ICE Database V5.0 (Circular Ecology)
"Aluminium, Africa",12.405749895609985,ICE Database V5.0 (Circular Ecology)
"Aluminium, China",14.593568656260635,ICE Database V5.0 (Circular Ecology)
"Aluminium, Japan",10.624512538347433,ICE Database V5.0 (Circular Ecology)
"Aluminium, Middle East",10.809800161935325,ICE Database V5.0 (Circular Ecology)
"Aluminium, Oceania",12.752084585609984,ICE Database V5.0 (Circular Ecology)
"Aluminium, Other Asia",15.869096795609984,ICE Database V5.0 (Circular Ecology)
"Aluminium, Russia",5.548323033609984,ICE Database V5.0 (Circular Ecology)
"Aluminium, South America",8.319000553609985,ICE Database V5.0 (Circular Ecology)
"Aluminium, South Korea",11.946853210535124,ICE Database V5.0 (Circular Ecology)
"Asphalt, 3% (bitumen) binder content (by mass)",50.68422793496,ICE Database V5.0 (Circular Ecology)
"Asphalt, 3.5% binder content",53.41868629612,ICE Database V5.0 (Circular Ecology)
"Asphalt, 4% binder content",56.15314465728001,ICE Database V5.0 (Circular Ecology)
"Asphalt, 4.5% binder content",58.88760301844,ICE Database V5.0 (Circular Ecology)
"Asphalt, 5% binder content",61.622061379600005,ICE Database V5.0 (Circular Ecology)
"Asphalt, 5.5% binder content",64.35651974075999,ICE Database V5.0 (Circular Ecology)
"Asphalt, 6% binder content",67.09097810192,ICE Database V5.0 (Circular Ecology)
"Asphalt, 6.5% binder content",69.82543646308,ICE Database V5.0 (Circular Ecology)
"Asphalt, 7% binder content",72.55989482423999,ICE Database V5.0 (Circular Ecology)
"Road surface, asphalt, 3% (bitumen) binder content (by mass)",14.240740466072754,ICE Database V5.0 (Circular Ecology)
"Road surface, asphalt, 3.5% binder content",14.889764158094081,ICE Database V5.0 (Circular Ecology)
"Road surface, asphalt, 4% binder content",15.538787850115407,ICE Database V5.0 (Circular Ecology)
"Road surface, asphalt, 4.5% binder content",16.187811542136732,ICE Database V5.0 (Circular Ecology)
"Road surface, asphalt, 5% binder content",16.83683523415806,ICE Database V5.0 (Circular Ecology)
"Road surface, asphalt, 5.5% binder content",17.485858926179386,ICE Database V5.0 (Circular Ecology)
"Road surface, asphalt, 6% binder content",18.134882618200713,ICE Database V5.0 (Circular Ecology)
"Road surface, asphalt, 6.5% binder content",18.783906310222036,ICE Database V5.0 (Circular Ecology)
"Road surface, asphalt, 7% binder content",19.43293000224336,ICE Database V5.0 (Circular Ecology)
Straight-run bitumen,0.53,ICE Database V5.0 (Circular Ecology)
General (Common Brick),0.213,ICE Database V5.0 (Circular Ecology)
A Single Brick,0.45369,ICE Database V5.0 (Circular Ecology)
with Mortar 1:3 cement:sand mix (Using CEM I cement),1.0,ICE Database V5.0 (Circular Ecology)
with Mortar 1:4 cement:sand mix (Using CEM I cement),1.0,ICE Database V5.0 (Circular Ecology)
with Mortar 1:5 cement:sand mix (Using CEM I cement),1.0,ICE Database V5.0 (Circular Ecology)
with Mortar 1:6 cement:sand mix (Using CEM I cement),1.0,ICE Database V5.0 (Circular Ecology)
with Mortar (1:½:4½ Cement:Lime:Sand mix) (Using CEM I cement),1.0,ICE Database V5.0 (Circular Ecology)
with Mortar (1:1:6 Cement:Lime:Sand mix) (Using CEM I cement),1.0,ICE Database V5.0 (Circular Ecology)
with Mortar (1:2:9 Cement:Lime:Sand mix) (Using CEM I cement),1.0,ICE Database V5.0 (Circular Ecology)
General (UK average),0.8122999999999999,ICE Database V5.0 (Circular Ecology)
"Average CEM I, Ordinary Portland Cement (OPC)",0.8398,ICE Database V5.0 (Circular Ecology)
CEM II-A-S - 13% GGBs,0.7545298799999999,ICE Database V5.0 (Circular Ecology)
CEM II/B-S - 28% GGBs,0.65129628,ICE Database V5.0 (Circular Ecology)
CEM II/A-P - 13% natural pozzolanic ash,0.7352550855,ICE Database V5.0 (Circular Ecology)
CEM II/B-P 28% natural pozzolanic ash,0.6097813379999999,ICE Database V5.0 (Circular Ecology)
CEM II/A-V - 13% fly ash siliceous,0.7348017299999999,ICE Database V5.0 (Circular Ecology)
CEM II/B-V - 28% fly ash siliceous,0.6088048799999999,ICE Database V5.0 (Circular Ecology)
CEM II/A-W - 13% fly ash calcareous,0.7348017299999999,ICE Database V5.0 (Circular Ecology)
CEM II/B-W - 28% fly ash calcareous,0.6088048799999999,ICE Database V5.0 (Circular Ecology)
CEM II/A-L - 13% limestone,0.7363394805,ICE Database V5.0 (Circular Ecology)
CEM II/B-L- 28% limestone,0.6121169579999999,ICE Database V5.0 (Circular Ecology)
CEM II/A-LL - 13% limestone,0.7363394805,ICE Database V5.0 (Circular Ecology)
CEM II/B-LL - 28% limestone,0.6121169579999999,ICE Database V5.0 (Circular Ecology)
CEM II/A-M - 16% cement replacement,0.7217427599999999,ICE Database V5.0 (Circular Ecology)
CEM II/B-M - 28% cement replacement,0.6300505799999998,ICE Database V5.0 (Circular Ecology)
CEM III/A - 50.5% GGBS,0.4964458799999999,ICE Database V5.0 (Circular Ecology)
CEM III/B - 73% GGBS,0.34159547999999995,ICE Database V5.0 (Circular Ecology)
CEM III/C - 88% GGBS,0.23836187999999997,ICE Database V5.0 (Circular Ecology)
CEM IV/A - 23% cement replacement,0.65080383,ICE Database V5.0 (Circular Ecology)
CEM IV/B - 46% cement replacement,0.46180855499999995,ICE Database V5.0 (Circular Ecology)
CEM V/A - 24% GGBS and 24% cement replacement,0.479032044,ICE Database V5.0 (Circular Ecology)
CEM V/B - 36% GGBS and 36% cement replacement,0.30415204425,ICE Database V5.0 (Circular Ecology)
Mortar (1:3 cement:sand mix),0.18475615727002967,ICE Database V5.0 (Circular Ecology)
Mortar (1:4),0.15074442446043165,ICE Database V5.0 (Circular Ecology)
Mortar (1:5),0.12768214285714286,ICE Database V5.0 (Circular Ecology)
Mortar (1:6),0.11101494800693242,ICE Database V5.0 (Circular Ecology)
Mortar (1:½:4½ Cement:Lime:Sand mix),0.15824648562300317,ICE Database V5.0 (Circular Ecology)
Mortar (1:1:6 Cement:Lime:Sand mix),0.143406353820598,ICE Database V5.0 (Circular Ecology)
Mortar (1:2:9 Cement:Lime:Sand mix),0.12733382352941178,ICE Database V5.0 (Circular Ecology)
General concrete admixtures – Average of data collected,1.6661666666666666,ICE Database V5.0 (Circular Ecology)
"Concrete admixtures – Air entrainers, Europe",0.527,ICE Database V5.0 (Circular Ecology)
Concrete admixtures – Hardening Accelerators,2.28,ICE Database V5.0 (Circular Ecology)
"Concrete admixtures – Plasticisers and
Superplasticisers",1.88,ICE Database V5.0 (Circular Ecology)
Concrete admixtures – Retarders,1.31,ICE Database V5.0 (Circular Ecology)
